Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#80,[UPDATE!]SpeedDraw!,10585,1217569017,1487355,374912,55701,87.06
#81,TowerofHell,10517,23977099438,11167470,3861874,1350060,74.1
#82,EmergencyHamburg,10347,438794946,518641,206824,38922,84.16
#83,SuperLeagueSoccer,10237,589351361,452242,215485,45887,82.44
#84,NaturalDisasterSurvival,9737,3156480783,10613951,3731751,381657,90.72
#85,🌲EmergencyResponse:LibertyCounty,9582,1022743109,2486821,959547,93029,91.16
#86,[🎃]🍕WorkataPizzaPlace,9451,4925539227,12499720,3075963,244246,92.64
#87,SwimLeague[NewWorld7🎃],9294,28278554,732203,56632,2694,95.46
#88,EscapeRunningHead,9172,2151768605,1620648,250102,77303,76.39
#89,PullaSword,9038,212296809,381483,967004,25215,97.46
#90,ElementalPowersTycoon,8897,659542517,1851950,219441,26477,89.23
#91,GunfightArena|WW2,8363,515817802,1113672,438540,57953,88.33
#92,PLUSH🧸HorseLife🐎,8156,107654702,1278698,290459,8700,97.09
#93,[🧛]MM2AimTrainer,8120,513138473,12659734,195197,28187,87.38
#94,Obbybutyou'reaSpider[700M],8035,15729350,40591,25686,8621,74.87
#95,🎃[UPD14HALLOWEEN]AnimeStrikeSimulator,7879,8605990,33530,117625,2374,98.02
#96,[SUPER]untitledboxinggame🥊,7866,667405334,788718,736297,118594,86.13
#97,RealisticStreetSoccer(3on3),7800,352435260,213816,117041,26777,81.38
#98,[🎃STORY]DragonSoul|AnimeAdventure🐲,7678,112709715,476804,309489,14965,95.39
#99,EattheWorld[NEWMAPS],7650,254118901,14821809,600373,34655,94.54
#100,LegendsBattlegrounds,7628,55788243,134860,79807,19277,80.54
#101,[🎂]itemasylum,7546,423679231,1023504,420688,63020,86.97
#102,Sonic.EXE:Thedisaster1.2,7446,40646073,69118,33850,4351,88.61
#103,[2X]🎃BasketballLegends🎃,7408,349763156,355388,238806,51529,82.25
#104,[🎃]DungeonQuest!⚔️RPGAdventure,7342,2150159395,4202863,1069156,96616,91.71
#105,Spider,7278,2444883605,2570379,528517,200540,72.49
#106,CombatWarriors🩸,7221,1167958416,2218694,1255365,232747,84.36
#107,Together[PartyGame]🪸DEEPOCEAN!🦑,7190,223440795,744691,86381,16055,84.33
#108,💪MuscleLegends,7121,1840670996,2350637,900012,131242,87.27
#109,TYPE://SOUL[HALLOWEENUPDATE],7009,506018314,359535,255645,61973,80.49
#110,BuildwithFriends[🎃HALLOWEEN],6915,27359902,1284646,96024,2808,97.16
#111,[🎃CHAPTERI]TowerDefenseX:BETA,6812,218103058,267484,278470,12557,95.69
#112,[🌘DARK]BeNPCorDIE!💢,6792,80902156,305853,250077,19180,92.88
#113,DaHood🎃,6779,2659750248,2966793,1235617,513242,70.65
#114,spookfest🎃RestaurantTycoon2,6741,1380969730,3922950,1200112,92379,92.85
#115,TheFloorIsLAVA!🔥,6695,2588160566,3316529,707454,231003,75.38
#116,[HALLOWEEN]SorcererBattlegrounds,6672,368342324,588651,342862,86643,79.83
#117,WarriorCats:UltimateEdition,6627,540590404,1212106,390743,29514,92.98
#118,MICUP🔊,6603,475122391,640278,306043,58947,83.85
#119,SecretStaycation,6551,387176400,507541,148206,24723,85.7
#120,Arsenal,6473,5601255572,11172088,4904838,622547,88.74
#121,SouthwestFloridaBeta,6394,621582028,1644439,630771,70758,89.91
#122,ThemeParkTycoon2,6299,1336714920,5783445,1906384,244855,88.62
#123,Regretevator[ELEVATORSIMULATOR],6258,111875165,606060,226285,22197,91.07
#124,[PAGANI]VehicleLegends🏎️CARS!,6211,1539051510,2262778,1023770,70590,93.55
#125,GymStarSimulator[NEWTRAINER💪],6188,48128043,99671,50339,3220,93.99
#126,[🎃]TwilightDaycare!,6159,2321070461,1967230,750913,92459,89.04
#127,👁️untitledtaggame👁️[DOORS!],6092,174769187,453031,325376,31200,91.25
#128,💜MeepCity💜,6043,16094272517,14787935,2857706,483318,85.53
#129,HideandSeekExtreme,5992,2904881095,6444745,881381,86547,91.06
#130,[W49]ObbyButYou’reOnaBike,5940,1407316033,5708158,773710,236023,76.63
#141,BACK!/MMV,5222,790643,54804,805,39,95.38
#142,SprayPaint!,5176,1129107924,1907456,457366,93922,82.96
#143,🎃FunkyFriday,5143,1838952150,4039487,1884060,199295,90.43
#144,RedcliffCity🏡RP,5127,832591606,801454,176534,25883,87.21
#145,BreakIn2(Story),5092,616535772,616938,251598,39521,86.42
#146,Chained[2PlayerObby],5086,70304997,1721496,50394,4173,92.35
#147,(🔪UPDATE🔪)ThaBronx2💯,5086,75260456,154300,57807,18224,76.03
#148,[NEW!]PilferingPirates[⛵],5070,874291276,1221660,238433,45416,84
#149,[NEW]MegaLuxuryBusTycoon🚍,5063,2356278,10768,1670,532,75.84
#150,🌳LumberTycoon2,5019,1177131987,4459036,1940432,272239,87.7
#151,[🔥UPD]SkibidiTowerDefense,4981,539329341,1806070,411630,29940,93.22
#152,BoxingBeta!🥊,4969,620499198,907896,255293,56974,81.75
#153,KittenGame🐾,4944,264384426,372460,121734,11044,91.68
#154,[NEWSTYLES]fightinaschool,4870,110436953,231805,109552,30062,78.47
#155,[🎃]SkateboardObby,4846,186832621,769085,119813,22501,84.19
#156,PETSGOMODDED!🎃[PUMPKIN],4821,893554,57879,3928,190,95.39
#157,🎃MapleHospital,4809,1163745473,1023930,308776,56953,84.43
#158,Guts&Blackpowder[HEADLESSHORSEMAN],4802,159574556,581692,229226,14047,94.23
#159,[UPDATE1]Skillful,4785,3190407,12020,12274,872,93.37
#160,NewSmith🏠RPHalloween!,4759,38888100,422968,30327,2426,92.59
#171,[🤑SALE]PetWorld✨,4531,6707657,14369,15480,867,94.7
#172,Paradise🏠RP,4526,295313712,8441683,116981,12496,90.35
#173,[AKAT☁️]NinjaTycoon(v4.5),4515,521452191,1204216,379090,45680,89.25
#174,[GHOSTSHINOBI+DIOMOVES]RealmRampage,4506,160616900,484858,280642,54760,83.67
#175,[🎃]ElementalDungeons,4485,183772103,328856,205892,11141,94.87
#176,[🧟ZOMBIES]MilitaryTycoon®,4475,758025166,1731481,1164736,100538,92.05
#177,[RNG]🎃BidBattles!,4470,129836695,324687,131473,12956,91.03
#178,MyToilet,4431,1071356,92362,3658,491,88.17
#179,🎃BAKEDABABY,4381,136244693,3477763,177902,18927,90.38
#180,🎃ShrekinTheBackrooms,4363,437509058,1122853,387913,53230,87.93
#181,UndergroundWar2.0⚔️[NUKE],4349,520333514,380374,218266,36755,85.59
#182,🐸AnimalSimulator,4343,1283765999,1698000,344789,70224,83.08
#183,[🎃HALLOWEEN]TOD,4294,147888118,226007,71674,6744,91.4
#184,🎃[HAYRIDE]🎃AmericanPlainsMudding,4251,149098016,234540,85592,15189,84.93
#185,Peroxide,4236,292112277,581173,357308,35514,90.96
#186,CollectAllPets!,4216,157797182,277644,108854,8460,92.79
#187,[UPDATE1.58]YourBizarreAdventure,4170,1972283212,1862822,1335989,161809,89.2
#188,BrokenBonesIV-RagdollSim,4161,1229170357,4161887,1309796,174621,88.24
#189,[STAGETWO!]💪NinjaChallenge[Beta],4149,13714138,19544,18120,2396,88.32
#190,GigaMansionTycoon🏝️,4087,109107902,188274,107510,4355,96.11
#191,[🎃Halloween]TongueBattles,4066,128020808,214311,379620,27915,93.15
#192,Draw&Switch,4064,71856936,229110,18313,4222,81.26
#193,ScaryHide&Seek,4059,10537731,248454,9235,1601,85.23
#194,[🎃Event]⚔️DungeonRNG,4041,32580647,643969,312933,6830,97.86
#195,SeasideRP🏡🌴NewLuxuryhouse!!,4032,209022517,7510767,36177,3864,90.35
#196,PhantomForces,3969,1627217909,5861967,2419374,212510,91.93
#197,SkyWars🔥,3960,212975735,188595,98679,34053,74.34
#198,🎃SPOOKY!🎃ClubRobloxRP👶🏡,3950,2594988700,3275515,872297,86482,90.98
#199,[REVOLVER]LOCKED,3939,79158173,93092,53337,13195,80.17
#200,CheeseEscape[Horror],3871,989964121,1545527,357335,52710,87.15
#201,😈MysteryKiller,3824,616510,55712,198,39,83.54
#202,[🎃FREEUGC🧻]SkibidiToiletBattle,3820,62047005,764380,70509,3200,95.66
#203,InfectiousSmile,3814,970221686,1937619,527171,142850,78.68
#204,BloxyBingo,3808,300470759,973745,245943,47605,83.78
#205,[🍀2XLUCK]PixelTowerDefense,3780,20080755,175337,70331,2452,96.63
#206,HighlandPark🏡RP[FREEVIP],3767,51911066,3720408,45271,3504,92.82
#207,PilotTrainingFlightSimulator,3705,456536455,1466115,602480,48172,92.6
#208,☄️Don'tPressTheButton4,3702,1013997448,1141147,525897,87797,85.69
#209,ClipIt😂🎬👗,3668,99198792,179547,51377,15864,76.41
#210,[HALLOWEEN!🎃]ITGIRL🎀,3658,36580836,188581,49254,16594,74.8
#211,ZombieUprising,3645,1039840259,3200111,918989,47285,95.11
#212,[🎃UPD]RaceClicker,3629,795297037,1193823,1302085,55715,95.9
#213,[🏎️UPD!]MansionTycoon🌴🏠,3620,374385635,796951,514305,15087,97.15
#214,DON'TGETELIMINATED,3563,117846936,231060,99282,26239,79.1
#215,Volleyball4.2,3552,250071551,439762,152632,16051,90.48
#216,LOCOfficial!,3552,203389464,829409,210858,29034,87.9
#217,🦠SurviveandKilltheKillersinArea51!!!,3501,1653578086,3732565,886092,108834,89.06
#218,[🪐PLANETS]UntitledFlingGame,3492,42668320,63328,20070,5702,77.88
#219,Ninjitsu:MasterofElements,3457,1741334,46165,10062,675,93.71
#220,ColorBlock,3414,2300889899,2404679,974967,173530,84.89
#221,⚡NinjaLegends,3375,2010181077,4566152,1501917,124981,92.32
#222,[16Prizes!🎃]CarCrushers2-PhysicsSim,3369,1118426573,4373876,1508354,121909,92.52
#223,ZombiesvsHumans,3362,11353292,65168,33035,5573,85.57
